x	Curve1
2935.9	36.6389
2978.3	36.5824
3021.4	36.5147
3065.1	36.4323
3109.4	36.3293
3154.3	36.1945
3199.9	36.0123
3246.2	35.7621
3293.1	35.4086
3340.7	34.9123
3389	34.3873
3438	34.0426
3487.8	33.8619
3538.2	33.7662
3589.3	33.7091
3641.2	33.6721
3693.9	33.6463
3747.3	33.6259
3801.5	33.6059
3856.4	33.5834
3912.2	33.5617
3968.7	33.5456
4026.1	33.5397
4084.3	33.5469
4143.4	33.5679
4203.3	33.6
4264	33.6403
4325.7	33.6867
4388.2	33.7378
4451.7	33.7923
4516	33.8492
4581.3	33.9052
4647.6	33.9535
4714.8	33.9874
4782.9	34.0006
4852.1	33.9881
4922.2	33.9461
4993.4	33.8718
5065.6	33.7672
5138.8	33.64
5213.1	33.4973
5288.5	33.3454
5364.9	33.1895
5442.5	33.0348
5521.2	32.8858
5601	32.7472
5682	32.6215
5764.2	32.5034
5847.5	32.3854
5932	32.2593
6017.8	32.1153
6104.8	31.9403
6193.1	31.7147
6282.6	31.4053
6373.4	30.9811
6465.6	30.4806
6559.1	30.0189
6653.9	29.761
6750.1	29.8156
6847.7	30.1339
6946.7	30.6187
7047.1	31.2152
7149	31.8815
7252.4	32.5517
7357.2	33.2615
7463.6	34.1488
7571.5	35.1401
7681	36.2802
7792	37.8651
7904.7	40.0347
8019	41.1251
8134.9	40.8101
8252.5	39.6571
8371.8	38.1424
8492.9	36.5135
8615.6	34.9358
8740.2	33.6955
8866.6	32.885
8994.8	32.0806
9124.8	31.2403
9256.7	30.4028
9390.6	29.5867
9526.3	28.8083
9664.1	28.098
9803.8	27.5344
9945.5	27.2212
10089.3	27.1156
10235.2	26.9959
10383.2	26.8539
10533.3	26.7401
10685.6	26.7753
10840.1	27.2919
10996.8	28.098
11155.8	28.9759
11317.1	29.891
11480.7	30.7497
11646.7	31.5721
11815.1	32.4816
11985.9	33.2497
12159.2	33.827
12335	34.2468
12513.3	34.4377
12694.2	34.1984
12877.7	33.4845
13063.9	32.6105
13252.8	31.136
13444.4	29.6745
13638.8	28.6202
13836	28.1207
14036	28.1171
14238.9	28.3926
14444.8	28.7782
14653.6	29.1332
14865.5	29.3774
15080.4	29.516
15298.5	29.551
15519.6	29.4603
15744	29.1185
15971.6	28.3413
16202.6	27.2252
16436.8	25.7862
16674.5	23.9159
16915.5	21.7346
17160.1	19.7692
17408.2	18.3852
17659.9	17.2728
17915.2	16.617
18174.2	16.7933
18437	17.2373
18703.5	16.8565
18974	15.4801
19248.3	13.3589
19526.6	10.6937
