* Measurement data measured by REW V5.20.8
* Source: C:\Users\DABKING\Downloads\새 결과\ChuR7.csv
* Format: Comma/Tab/Space delimited data
* Dated: 2022. 6. 25 오전 6:37:00
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\DABKING\Downloads\새 결과\ChuR7.csv Format: Comma/Tab/Space delimited data 720 values loaded, 12 Hz to 23,827 Hz log spaced
* Measurement: ChuR7
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
1950.000000	81.991
1975.000000	82.131
2000.000000	82.268
2030.000000	82.419
2060.000000	82.556
2090.000000	82.689
2120.000000	82.830
2140.000000	82.929
2180.000000	83.116
2200.000000	83.198
2240.000000	83.350
2270.000000	83.470
2300.000000	83.597
2330.000000	83.720
2360.000000	83.833
2400.000000	83.968
2430.000000	84.062
2470.000000	84.184
2500.000000	84.272
2540.000000	84.384
2580.000000	84.485
2620.000000	84.580
2650.000000	84.648
2690.000000	84.729
2720.000000	84.779
2760.000000	84.838
2800.000000	84.881
2850.000000	84.917
2900.000000	84.957
2950.000000	85.002
3000.000000	85.039
3040.000000	85.054
3070.000000	85.057
3110.000000	85.059
3150.000000	85.053
3200.000000	85.043
3250.000000	85.028
3300.000000	84.986
3350.000000	84.934
3400.000000	84.923
3450.000000	84.947
3500.000000	84.939
3550.000000	84.861
3600.000000	84.776
3650.000000	84.766
3700.000000	84.815
3750.000000	84.856
3820.000000	84.853
3870.000000	84.833
3950.000000	84.817
4000.000000	84.811
4060.000000	84.798
4120.000000	84.769
4180.000000	84.715
4250.000000	84.609
4310.000000	84.470
4370.000000	84.310
4440.000000	84.241
4500.000000	84.363
4550.000000	84.515
4620.000000	84.654
4680.000000	84.689
4750.000000	84.672
4820.000000	84.615
4870.000000	84.557
4940.000000	84.453
5000.000000	84.341
5080.000000	84.158
5150.000000	83.981
5220.000000	83.797
5300.000000	83.570
5380.000000	83.325
5450.000000	83.104
5520.000000	82.883
5600.000000	82.630
5700.000000	82.308
5800.000000	81.997
5900.000000	81.730
6000.000000	81.505
6080.000000	81.349
6150.000000	81.229
6220.000000	81.113
6300.000000	80.980
6400.000000	80.826
6500.000000	80.711
6600.000000	80.636
6700.000000	80.596
6800.000000	80.597
6900.000000	80.640
7000.000000	80.725
7100.000000	80.849
7200.000000	81.025
7300.000000	81.277
7400.000000	81.602
7500.000000	81.972
7620.000000	82.461
7750.000000	83.006
7880.000000	83.467
8000.000000	83.744
8120.000000	83.831
8250.000000	83.659
8380.000000	83.170
8500.000000	82.449
8620.000000	81.506
8750.000000	80.290
8850.000000	79.289
9000.000000	77.819
9120.000000	76.682
9250.000000	75.502
9380.000000	74.381
9500.000000	73.383
9620.000000	72.429
9750.000000	71.465
9880.000000	70.578
10000.000000	69.825
10150.000000	68.983
10300.000000	68.248
10440.000000	67.653
10600.000000	67.047
10750.000000	66.542
10900.000000	66.149
11060.000000	65.893
11200.000000	65.833
11380.000000	66.047
11500.000000	66.412
11720.000000	67.525
11800.000000	68.016
12060.000000	69.544
12200.000000	70.217
12410.000000	71.054
12500.000000	71.372
12650.000000	71.869
12800.000000	72.364
13150.000000	73.647
13200.000000	73.829
13400.000000	74.483
13600.000000	74.951
13800.000000	75.160
14000.000000	75.075
14300.000000	74.429
14500.000000	73.790
14750.000000	72.919
15000.000000	72.100
15250.000000	71.421
15500.000000	70.836
15750.000000	70.248
16000.000000	69.553
16250.000000	68.572
16500.000000	67.180
16750.000000	65.544
17000.000000	63.973
17250.000000	62.787
17500.000000	62.150
17750.000000	61.942
18000.000000	61.957
18250.000000	61.997
18500.000000	61.925
18750.000000	61.716
19000.000000	61.415
19250.000000	61.115
19500.000000	60.797
19750.000000	60.239
20000.000000	58.999
