Freq dB Phase
99.975586 74.629 168.5619
100.341797 74.605 168.4836
100.708008 74.579 168.4049
101.074219 74.552 168.3376
101.440430 74.525 168.2856
101.806641 74.499 168.2419
102.172852 74.475 168.1954
102.539062 74.450 168.1434
102.905273 74.421 168.0979
103.271484 74.390 168.0790
103.637695 74.359 168.0995
104.003906 74.331 168.1530
104.370117 74.308 168.2153
104.736328 74.289 168.2627
105.102539 74.268 168.2901
105.468750 74.242 168.3163
105.834961 74.211 168.3705
106.201172 74.180 168.4704
106.567383 74.152 168.6084
106.933594 74.128 168.7593
107.299805 74.107 168.9014
107.666016 74.086 169.0360
108.032227 74.061 169.1860
108.398438 74.037 169.3768
108.764648 74.016 169.6146
109.130859 74.005 169.8790
109.497070 74.003 170.1387
109.863281 74.008 170.3737
110.229492 74.017 170.5862
110.595703 74.029 170.7904
110.961914 74.047 170.9922
111.328125 74.072 171.1778
111.694336 74.105 171.3225
112.060547 74.142 171.4103
112.426758 74.180 171.4469
112.792969 74.216 171.4522
113.159180 74.252 171.4401
113.525391 74.291 171.4035
113.891602 74.332 171.3200
114.257812 74.372 171.1727
114.624023 74.406 170.9688
114.990234 74.430 170.7388
115.356445 74.445 170.5164
115.722656 74.456 170.3174
116.088867 74.465 170.1329
116.455078 74.475 169.9439
116.821289 74.482 169.7410
117.187500 74.484 169.5333
117.553711 74.482 169.3379
117.919922 74.480 169.1613
118.286133 74.478 168.9907
118.652344 74.477 168.8041
119.018555 74.474 168.5918
119.384766 74.465 168.3683
119.750977 74.449 168.1659
120.117188 74.430 168.0112
120.483398 74.413 167.9052
120.849609 74.403 167.8210
121.215820 74.399 167.7218
121.582031 74.397 167.5849
121.948242 74.393 167.4143
122.314453 74.383 167.2347
122.680664 74.367 167.0735
123.046875 74.350 166.9451
123.413086 74.334 166.8458
123.779297 74.321 166.7611
124.145508 74.310 166.6757
124.511719 74.300 166.5817
124.877930 74.289 166.4802
125.244141 74.277 166.3785
125.610352 74.262 166.2856
125.976562 74.247 166.2074
126.342773 74.233 166.1428
126.708984 74.221 166.0837
127.075195 74.210 166.0190
127.441406 74.199 165.9418
127.807617 74.187 165.8546
128.173828 74.173 165.7682
128.540039 74.158 165.6932
128.906250 74.144 165.6307
129.272461 74.131 165.5699
129.638672 74.120 165.4966
130.004883 74.108 165.4052
130.371094 74.093 165.3049
130.737305 74.075 165.2143
131.103516 74.055 165.1471
131.469727 74.037 165.1015
131.835938 74.023 165.0611
132.202148 74.010 165.0081
132.568359 73.998 164.9376
132.934570 73.983 164.8617
133.300781 73.965 164.7986
133.666992 73.948 164.7582
134.033203 73.933 164.7338
134.399414 73.922 164.7078
134.765625 73.914 164.6653
135.131836 73.904 164.6040
135.498047 73.893 164.5330
135.864258 73.880 164.4637
136.230469 73.866 164.4020
136.596680 73.851 164.3474
136.962891 73.837 164.2982
137.329102 73.821 164.2560
137.695312 73.807 164.2231
138.061523 73.793 164.1977
138.427734 73.781 164.1719
138.793945 73.769 164.1380
139.160156 73.757 164.0965
139.526367 73.743 164.0580
139.892578 73.728 164.0342
140.258789 73.716 164.0254
140.625000 73.706 164.0160
140.991211 73.700 163.9854
141.357422 73.692 163.9254
141.723633 73.681 163.8500
142.089844 73.665 163.7856
142.456055 73.649 163.7499
142.822266 73.635 163.7346
143.188477 73.627 163.7095
143.554688 73.621 163.6468
143.920898 73.611 163.5453
144.287109 73.593 163.4363
144.653320 73.569 163.3631
145.019531 73.543 163.3508
145.385742 73.523 163.3879
145.751953 73.512 163.4343
146.118164 73.508 163.4484
146.484375 73.505 163.4144
146.850586 73.498 163.3478
147.216797 73.486 163.2805
147.583008 73.470 163.2375
147.949219 73.454 163.2232
148.315430 73.442 163.2229
148.681641 73.433 163.2171
149.047852 73.424 163.1948
149.414062 73.414 163.1587
149.780273 73.402 163.1205
150.146484 73.388 163.0920
150.512695 73.374 163.0781
150.878906 73.360 163.0745
151.245117 73.349 163.0712
151.611328 73.339 163.0592
151.977539 73.328 163.0359
152.343750 73.316 163.0073
152.709961 73.302 162.9829
153.076172 73.288 162.9692
153.442383 73.275 162.9635
153.808594 73.264 162.9554
154.174805 73.255 162.9348
154.541016 73.244 162.8997
154.907227 73.231 162.8595
155.273438 73.216 162.8280
155.639648 73.201 162.8136
156.005859 73.187 162.8132
156.372070 73.175 162.8147
156.738281 73.166 162.8057
157.104492 73.156 162.7824
157.470703 73.144 162.7513
157.836914 73.131 162.7245
158.203125 73.116 162.7118
158.569336 73.101 162.7158
158.935547 73.089 162.7307
159.301758 73.079 162.7455
159.667969 73.072 162.7491
160.034180 73.065 162.7354
160.400391 73.056 162.7058
160.766602 73.045 162.6696
161.132812 73.032 162.6393
161.499023 73.017 162.6240
161.865234 73.003 162.6239
162.231445 72.991 162.6303
162.597656 72.981 162.6318
162.963867 72.972 162.6213
163.330078 72.962 162.6003
163.696289 72.950 162.5759
164.062500 72.938 162.5553
164.428711 72.925 162.5415
164.794922 72.912 162.5335
165.161133 72.899 162.5293
165.527344 72.887 162.5284
165.893555 72.875 162.5304
166.259766 72.865 162.5334
166.625977 72.855 162.5330
166.992188 72.845 162.5262
167.358398 72.834 162.5141
167.724609 72.822 162.5028
168.090820 72.809 162.4991
168.457031 72.796 162.5061
168.823242 72.783 162.5213
169.189453 72.772 162.5392
169.555664 72.762 162.5558
169.921875 72.752 162.5701
170.288086 72.743 162.5822
170.654297 72.734 162.5912
171.020508 72.726 162.5955
171.386719 72.716 162.5953
171.752930 72.705 162.5954
172.119141 72.694 162.6028
172.485352 72.682 162.6217
172.851562 72.672 162.6488
173.217773 72.663 162.6753
173.583984 72.656 162.6928
173.950195 72.649 162.6996
174.316406 72.641 162.7014
174.682617 72.631 162.7062
175.048828 72.621 162.7181
175.415039 72.612 162.7350
175.781250 72.604 162.7525
176.147461 72.596 162.7682
176.513672 72.588 162.7833
176.879883 72.580 162.7999
177.246094 72.573 162.8172
177.612305 72.566 162.8323
177.978516 72.558 162.8446
178.344727 72.550 162.8600
178.710938 72.541 162.8877
179.077148 72.534 162.9323
179.443359 72.530 162.9859
179.809570 72.531 163.0291
180.175781 72.534 163.0417
180.541992 72.537 163.0167
180.908203 72.536 162.9663
181.274414 72.529 162.9147
181.640625 72.519 162.8840
182.006836 72.508 162.8810
182.373047 72.499 162.8957
182.739258 72.494 162.9108
183.105469 72.490 162.9139
183.471680 72.485 162.9037
183.837891 72.480 162.8875
184.204102 72.473 162.8729
184.570312 72.465 162.8638
184.936523 72.458 162.8597
185.302734 72.451 162.8596
185.668945 72.444 162.8633
186.035156 72.438 162.8702
186.401367 72.434 162.8754
186.767578 72.432 162.8708
187.133789 72.429 162.8505
187.500000 72.425 162.8162
187.866211 72.418 162.7795
188.232422 72.409 162.7551
188.598633 72.399 162.7505
188.964844 72.392 162.7604
189.331055 72.388 162.7685
189.697266 72.385 162.7592
190.063477 72.381 162.7288
190.429688 72.374 162.6891
190.795898 72.364 162.6600
191.162109 72.351 162.6559
191.528320 72.341 162.6764
191.894531 72.334 162.7057
192.260742 72.330 162.7240
192.626953 72.328 162.7195
192.993164 72.323 162.6953
193.359375 72.316 162.6651
193.725586 72.306 162.6439
194.091797 72.296 162.6381
194.458008 72.286 162.6440
194.824219 72.278 162.6522
195.190430 72.271 162.6552
195.556641 72.264 162.6512
195.922852 72.257 162.6429
196.289062 72.249 162.6335
196.655273 72.240 162.6246
197.021484 72.231 162.6163
197.387695 72.222 162.6094
197.753906 72.213 162.6058
198.120117 72.204 162.6070
198.486328 72.195 162.6111
198.852539 72.187 162.6138
199.218750 72.180 162.6108
199.584961 72.173 162.6016
199.951172 72.164 162.5906
200.317383 72.155 162.5845
200.683594 72.145 162.5871
201.049805 72.137 162.5966
201.416016 72.130 162.6068
201.782227 72.125 162.6101
202.148438 72.119 162.6030
202.514648 72.113 162.5870
202.880859 72.105 162.5681
203.247070 72.096 162.5530
203.613281 72.086 162.5469
203.979492 72.076 162.5506
204.345703 72.066 162.5611
204.711914 72.058 162.5732
205.078125 72.051 162.5829
205.444336 72.044 162.5891
205.810547 72.036 162.5945
206.176758 72.028 162.6029
206.542969 72.020 162.6154
206.909180 72.014 162.6289
207.275391 72.008 162.6380
207.641602 72.002 162.6389
208.007812 71.995 162.6328
208.374023 71.987 162.6260
208.740234 71.978 162.6255
209.106445 71.968 162.6349
209.472656 71.960 162.6523
209.838867 71.952 162.6717
210.205078 71.946 162.6874
210.571289 71.940 162.6960
210.937500 71.934 162.6970
211.303711 71.927 162.6923
211.669922 71.919 162.6850
212.036133 71.909 162.6799
212.402344 71.899 162.6825
212.768555 71.888 162.6968
213.134766 71.878 162.7226
213.500977 71.871 162.7540
213.867188 71.865 162.7812
214.233398 71.861 162.7948
214.599609 71.856 162.7913
214.965820 71.851 162.7745
215.332031 71.842 162.7537
215.698242 71.832 162.7392
216.064453 71.820 162.7381
216.430664 71.808 162.7517
216.796875 71.799 162.7761
217.163086 71.791 162.8040
217.529297 71.785 162.8281
217.895508 71.780 162.8427
218.261719 71.776 162.8458
218.627930 71.771 162.8385
218.994141 71.765 162.8248
219.360352 71.757 162.8104
219.726562 71.747 162.8015
220.092773 71.737 162.8031
220.458984 71.727 162.8175
220.825195 71.718 162.8425
221.191406 71.711 162.8722
221.557617 71.705 162.8990
221.923828 71.701 162.9172
222.290039 71.697 162.9253
222.656250 71.692 162.9253
223.022461 71.686 162.9210
223.388672 71.679 162.9156
223.754883 71.671 162.9117
224.121094 71.662 162.9120
224.487305 71.653 162.9191
224.853516 71.643 162.9339
225.219727 71.635 162.9535
225.585938 71.628 162.9720
225.952148 71.621 162.9852
226.318359 71.613 162.9946
226.684570 71.604 163.0068
227.050781 71.595 163.0284
227.416992 71.588 163.0580
227.783203 71.583 163.0854
228.149414 71.579 163.0983
228.515625 71.574 163.0928
228.881836 71.567 163.0787
229.248047 71.557 163.0729
229.614258 71.546 163.0876
229.980469 71.536 163.1202
230.346680 71.530 163.1562
230.712891 71.526 163.1805
231.079102 71.522 163.1884
231.445312 71.517 163.1874
231.811523 71.510 163.1879
232.177734 71.503 163.1935
232.543945 71.497 163.2001
232.910156 71.491 163.2018
233.276367 71.484 163.1994
233.642578 71.475 163.2007
234.008789 71.466 163.2133
234.375000 71.458 163.2364
234.741211 71.452 163.2611
235.107422 71.448 163.2778
235.473633 71.443 163.2843
235.839844 71.437 163.2868
236.206055 71.430 163.2926
236.572266 71.424 163.3020
236.938477 71.418 163.3089
237.304688 71.412 163.3079
237.670898 71.404 163.3029
238.037109 71.393 163.3063
238.403320 71.382 163.3292
238.769531 71.372 163.3719
239.135742 71.366 163.4210
239.501953 71.362 163.4592
239.868164 71.359 163.4774
240.234375 71.355 163.4799
240.600586 71.349 163.4794
240.966797 71.341 163.4857
241.333008 71.333 163.4993
241.699219 71.326 163.5142
242.065430 71.320 163.5256
242.431641 71.312 163.5359
242.797852 71.304 163.5527
243.164062 71.296 163.5801
243.530273 71.291 163.6133
243.896484 71.288 163.6398
244.262695 71.287 163.6481
244.628906 71.285 163.6359
244.995117 71.280 163.6133
245.361328 71.272 163.5960
245.727539 71.262 163.5962
246.093750 71.253 163.6150
246.459961 71.246 163.6440
246.826172 71.241 163.6713
247.192383 71.237 163.6902
247.558594 71.232 163.7020
247.924805 71.226 163.7135
248.291016 71.220 163.7306
248.657227 71.214 163.7540
249.023438 71.208 163.7793
249.389648 71.203 163.8019
249.755859 71.198 163.8199
