x	LEFT
245.16	37.1367
248.65	37.1117
252.2	37.0869
255.79	37.0623
259.43	37.0379
263.13	37.0138
266.88	36.9899
270.68	36.9663
274.53	36.9431
278.44	36.9201
282.41	36.8976
286.43	36.8755
290.51	36.8537
294.65	36.8323
298.85	36.8112
303.11	36.7906
307.42	36.7702
311.8	36.7502
316.25	36.7305
320.75	36.7111
325.32	36.692
329.95	36.6731
334.65	36.6544
339.42	36.6358
344.26	36.6171
349.16	36.5983
354.13	36.5796
359.18	36.5613
364.29	36.544
369.48	36.5281
374.75	36.514
380.09	36.5016
385.5	36.4906
390.99	36.4806
396.56	36.4712
402.21	36.4623
407.94	36.4539
413.75	36.4459
419.64	36.4383
425.62	36.4294
431.68	36.4207
437.83	36.4121
444.07	36.4036
450.4	36.3953
456.81	36.3872
463.32	36.3797
469.92	36.3661
476.61	36.3499
483.4	36.3339
490.29	36.3176
497.27	36.301
504.36	36.2837
511.54	36.2647
518.83	36.2612
526.22	36.271
533.71	36.2794
541.32	36.2872
549.03	36.2945
556.85	36.3017
564.78	36.3089
572.83	36.3157
580.99	36.3155
589.26	36.3158
597.66	36.3162
606.17	36.3166
614.8	36.317
623.56	36.317
632.45	36.3164
641.45	36.3234
650.59	36.3336
659.86	36.343
669.26	36.3519
678.79	36.3603
688.46	36.3679
698.27	36.3744
708.22	36.385
718.3	36.4161
728.54	36.4448
738.91	36.4722
749.44	36.4984
760.12	36.5233
770.94	36.5461
781.93	36.5632
793.06	36.6374
804.36	36.7018
815.82	36.7641
827.44	36.8247
839.23	36.8835
851.18	36.9401
863.31	36.9914
875.6	37.1011
888.08	37.2086
900.73	37.3134
913.56	37.4161
926.57	37.5171
939.77	37.6154
953.16	37.7289
966.74	37.8683
980.51	38.0044
994.47	38.1388
1008.64	38.2717
1023.01	38.4027
1037.58	38.5444
1052.36	38.7016
1067.35	38.8573
1082.56	39.0121
1097.98	39.1665
1113.62	39.3205
1129.48	39.4747
1145.57	39.6296
1161.89	39.7845
1178.44	39.9397
1195.23	40.0952
1212.25	40.2513
1229.52	40.401
1247.04	40.5447
1264.8	40.6893
1282.82	40.8345
1301.09	40.9802
1319.62	41.1268
1338.42	41.2663
1357.49	41.4006
1376.82	41.5356
1396.44	41.6708
1416.33	41.806
1436.51	41.9412
1456.97	42.0788
1477.72	42.2176
1498.77	42.3562
1520.12	42.4945
1541.78	42.6326
1563.74	42.7702
1586.01	42.9109
1608.61	43.0574
1631.52	43.2031
1654.76	43.3484
1678.33	43.4931
1702.24	43.6371
1726.49	43.7861
1751.08	43.9429
1776.03	44.0988
1801.33	44.2542
1826.99	44.4091
1853.01	44.5635
1879.41	44.7216
1906.18	44.8844
1933.33	45.0471
1960.87	45.21
1988.81	45.3735
2017.14	45.5387
2045.87	45.6845
2075.01	45.8272
2104.57	45.9712
2134.55	46.1164
2164.96	46.2631
2195.8	46.4128
2227.08	46.5323
2258.8	46.65
2290.98	46.7706
2323.61	46.8941
2356.71	47.0218
2390.3	47.1602
2424.3	47.2025
2458.9	47.2403
2493.9	47.2824
2529.4	47.3276
2565.4	47.3757
2602	47.4276
2639.1	47.4848
2676.7	47.4664
2714.8	47.4545
2753.5	47.4452
2792.7	47.4376
2832.5	47.4314
2872.8	47.4266
2913.7	47.424
2955.2	47.405
2997.3	47.3764
3040	47.3492
3083.3	47.3227
3127.3	47.2965
3171.8	47.2706
3217	47.2448
3262.8	47.2191
3309.3	47.1934
3356.4	47.1676
