* Measurement data measured by REW V5.20.8
* Source: C:\Users\DABKING\Downloads\wf1000xm4R.csv
* Format: Comma/Tab/Space delimited data
* Dated: 2022. 6. 20 ¿ÀÈÄ 10:04:14
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\DABKING\Downloads\wf1000xm4R.csv Format: Comma/Tab/Space delimited data 720 values loaded, 11 Hz to 21,891 Hz log spaced
* Measurement: wf1000xm4R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
1900.000000	68.185
1925.000000	68.318
1950.000000	68.463
1975.000000	68.613
2000.000000	68.760
2030.000000	68.935
2060.000000	69.113
2090.000000	69.295
2120.000000	69.480
2140.000000	69.605
2180.000000	69.852
2200.000000	69.973
2240.000000	70.203
2270.000000	70.364
2300.000000	70.515
2330.000000	70.661
2360.000000	70.800
2400.000000	70.965
2430.000000	71.079
2470.000000	71.218
2500.000000	71.306
2540.000000	71.403
2580.000000	71.475
2620.000000	71.526
2650.000000	71.557
2690.000000	71.585
2720.000000	71.596
2760.000000	71.604
2800.000000	71.618
2850.000000	71.645
2900.000000	71.668
2950.000000	71.683
3000.000000	71.708
3040.000000	71.730
3070.000000	71.742
3110.000000	71.752
3150.000000	71.752
3200.000000	71.743
3250.000000	71.724
3300.000000	71.678
3350.000000	71.611
3400.000000	71.547
3450.000000	71.494
3500.000000	71.440
3550.000000	71.381
3600.000000	71.331
3650.000000	71.290
3700.000000	71.244
3750.000000	71.205
3820.000000	71.178
3870.000000	71.174
3950.000000	71.187
4000.000000	71.208
4060.000000	71.225
4120.000000	71.203
4180.000000	71.097
4250.000000	70.960
4310.000000	71.102
4370.000000	71.333
4440.000000	71.371
4500.000000	71.529
4550.000000	71.847
4620.000000	72.176
4680.000000	72.212
4750.000000	72.170
4820.000000	72.125
4870.000000	72.092
4940.000000	72.050
5000.000000	72.010
5080.000000	71.940
5150.000000	71.884
5220.000000	71.823
5300.000000	71.725
5380.000000	71.616
5450.000000	71.518
5520.000000	71.420
5600.000000	71.316
5700.000000	71.167
5800.000000	71.004
5900.000000	70.862
6000.000000	70.730
6080.000000	70.630
6150.000000	70.557
6220.000000	70.496
6300.000000	70.435
6400.000000	70.364
6500.000000	70.309
6600.000000	70.310
6700.000000	70.370
6800.000000	70.475
6900.000000	70.628
7000.000000	70.822
7100.000000	71.069
7200.000000	71.389
7300.000000	71.782
7400.000000	72.206
7500.000000	72.587
7620.000000	72.877
7750.000000	72.792
7880.000000	72.164
8000.000000	71.188
8120.000000	70.006
8250.000000	68.719
8380.000000	67.593
8500.000000	66.759
8620.000000	66.092
8750.000000	65.496
8850.000000	65.131
9000.000000	64.756
9120.000000	64.547
9250.000000	64.374
9380.000000	64.255
9500.000000	64.179
9620.000000	64.148
9750.000000	64.177
9880.000000	64.215
10000.000000	64.221
10150.000000	64.221
10300.000000	64.244
10440.000000	64.276
10600.000000	64.280
10750.000000	64.248
10900.000000	64.213
11060.000000	64.167
11200.000000	64.101
11380.000000	63.892
11500.000000	63.640
11720.000000	63.207
11800.000000	63.106
12060.000000	62.954
12200.000000	63.114
12410.000000	63.811
12500.000000	64.171
12650.000000	64.662
12800.000000	64.947
13150.000000	65.182
13200.000000	65.184
13400.000000	65.074
13600.000000	64.799
13800.000000	64.499
14000.000000	64.393
14300.000000	64.887
14500.000000	65.581
14750.000000	66.487
15000.000000	66.988
15250.000000	66.751
15500.000000	65.788
15750.000000	64.435
16000.000000	63.232
16250.000000	62.515
16500.000000	62.228
16750.000000	62.331
17000.000000	62.687
17250.000000	63.056
17500.000000	63.205
17750.000000	62.926
18000.000000	62.154
18250.000000	60.962
18500.000000	59.502
18750.000000	57.924
19000.000000	56.301
19250.000000	54.688
19500.000000	53.023
19750.000000	51.062
20000.000000	48.463
