* Measurement data measured by REW V5.20.8
* Source: C:\Users\DABKING\Downloads\harman_over-ear_2018.csv
* Format: Comma/Tab/Space delimited data
* Dated: 2022. 7. 13 ���� 8:04:15
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\DABKING\Downloads\harman_over-ear_2018.csv Format: Comma/Tab/Space delimited data 695 values loaded, 20 Hz to 19,896 Hz log spaced
* Measurement: harman_over-ear_2018
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
1925.000000	90.617
1950.000000	90.783
1975.000000	90.944
2000.000000	91.098
2030.000000	91.264
2060.000000	91.423
2090.000000	91.576
2120.000000	91.726
2140.000000	91.825
2180.000000	92.016
2200.000000	92.109
2240.000000	92.296
2270.000000	92.427
2300.000000	92.555
2330.000000	92.683
2360.000000	92.800
2400.000000	92.935
2430.000000	93.029
2470.000000	93.152
2500.000000	93.241
2540.000000	93.347
2580.000000	93.447
2620.000000	93.544
2650.000000	93.613
2690.000000	93.698
2720.000000	93.759
2760.000000	93.836
2800.000000	93.906
2850.000000	93.978
2900.000000	94.040
2950.000000	94.096
3000.000000	94.155
3040.000000	94.201
3070.000000	94.236
3110.000000	94.280
3150.000000	94.318
3200.000000	94.349
3250.000000	94.374
3300.000000	94.396
3350.000000	94.411
3400.000000	94.416
3450.000000	94.412
3500.000000	94.407
3550.000000	94.397
3600.000000	94.372
3650.000000	94.341
3700.000000	94.308
3750.000000	94.271
3820.000000	94.203
3870.000000	94.152
3950.000000	94.075
4000.000000	94.020
4060.000000	93.939
4120.000000	93.856
4180.000000	93.773
4250.000000	93.670
4310.000000	93.569
4370.000000	93.463
4440.000000	93.340
4500.000000	93.232
4550.000000	93.140
4620.000000	93.009
4680.000000	92.896
4750.000000	92.765
4820.000000	92.631
4870.000000	92.535
4940.000000	92.402
5000.000000	92.292
5080.000000	92.161
5150.000000	92.055
5220.000000	91.950
5300.000000	91.828
5380.000000	91.708
5450.000000	91.609
5520.000000	91.511
5600.000000	91.404
5700.000000	91.287
5800.000000	91.179
5900.000000	91.073
6000.000000	90.956
6080.000000	90.846
6150.000000	90.745
6220.000000	90.643
6300.000000	90.532
6400.000000	90.404
6500.000000	90.285
6600.000000	90.164
6700.000000	90.042
6800.000000	89.913
6900.000000	89.776
7000.000000	89.644
7100.000000	89.510
7200.000000	89.367
7300.000000	89.216
7400.000000	89.066
7500.000000	88.920
7620.000000	88.755
7750.000000	88.584
7880.000000	88.417
8000.000000	88.261
8120.000000	88.097
8250.000000	87.916
8380.000000	87.740
8500.000000	87.574
8620.000000	87.396
8750.000000	87.201
8850.000000	87.053
9000.000000	86.833
9120.000000	86.644
9250.000000	86.433
9380.000000	86.227
9500.000000	86.030
9620.000000	85.820
9750.000000	85.586
9880.000000	85.354
10000.000000	85.146
10150.000000	84.892
10300.000000	84.641
10440.000000	84.410
10600.000000	84.142
10750.000000	83.876
10900.000000	83.606
11060.000000	83.316
11200.000000	83.063
11380.000000	82.723
11500.000000	82.496
11720.000000	82.086
11800.000000	81.944
12060.000000	81.511
12200.000000	81.289
12410.000000	80.963
12500.000000	80.825
12650.000000	80.597
12800.000000	80.372
13150.000000	79.863
13200.000000	79.795
13400.000000	79.544
13600.000000	79.307
13800.000000	79.073
14000.000000	78.849
14300.000000	78.548
14500.000000	78.356
14750.000000	78.120
15000.000000	77.869
15250.000000	77.585
15500.000000	77.287
15750.000000	76.990
16000.000000	76.662
16250.000000	76.252
16500.000000	75.811
16750.000000	75.366
17000.000000	74.874
17250.000000	74.252
17500.000000	73.574
17750.000000	72.886
18000.000000	72.133
18250.000000	71.224
18500.000000	70.230
18750.000000	69.220
19000.000000	68.148
19250.000000	66.893
19500.000000	65.555
19750.000000	64.328
