x    Curve1
2752    47.4572
2791.2    47.4496
2831    47.4434
2871.3    47.4386
2912.2    47.436
2953.7    47.4166
2995.8    47.388
3038.4    47.3608
3081.7    47.3343
3125.6    47.3081
3170.1    47.2822
3215.3    47.2564
3261.1    47.2306
3307.5    47.2049
3354.7    47.1791
3402.4    47.1532
3450.9    47.1272
3500.1    47.1011
3549.9    47.075
3600.5    47.0489
3651.8    47.023
3703.8    46.9977
3756.6    46.9716
3810.1    46.9386
3864.4    46.8926
3919.4    46.833
3975.2    46.7624
4031.9    46.6815
4089.3    46.5895
4147.5    46.4842
4206.6    46.3622
4266.5    46.2174
4327.3    46.0385
4389    45.8135
4451.5    45.5381
4514.9    45.2194
4579.2    44.8806
4644.4    44.5457
4710.6    44.2082
4777.7    43.8547
4845.8    43.4623
4914.8    43.0156
4984.8    42.5808
5055.8    42.2122
5127.8    41.9026
5200.9    41.6257
5275    41.37
5350.1    41.1326
5426.3    40.9298
5503.6    40.8633
5582    40.7489
5661.5    40.6262
5742.2    40.5117
5824    40.4106
5906.9    40.3259
5991.1    40.2605
6076.4    40.2175
6163    40.2001
6250.8    40.2075
6339.8    40.2383
6430.1    40.292
6521.7    40.3694
6614.6    40.473
6708.8    40.6083
6804.4    40.7879
6901.3    41.0421
6999.6    41.4285
7099.3    42.0104
7200.5    42.6403
7303    43.2531
7407.1    43.9011
7512.6    44.6113
7619.6    45.3583
7728.1    46.1666
7838.2    47.1716
7949.9    47.9552
8063.1    48.2689
8178    48.4144
8294.5    48.0814
8412.6    47.5545
8532.5    47.05
8654    46.4478
8777.3    45.8302
8902.3    45.3998
9029.1    45.0754
9157.8    44.7135
9288.2    44.3175
9420.5    44.6385
9554.7    44.9025
9690.8    45.1462
9828.9    45.3766
9968.9    45.6133
10110.9    45.8072
10254.9    45.9391
10401    45.9498
10549.2    45.5716
10699.4    44.077
10851.8    42.8551
11006.4    41.546
11163.2    40.3679
11322.2    38.8717
11483.5    38.2831
11647.1    37.9711
11813    37.719
11981.3    37.4716
12152    37.1789
12325.1    36.7205
12500.6    35.8366
12678.7    34.5868
12859.3    32.9327
13042.5    31.2064
13228.3    28.6149
13416.7    26.7832
13607.8    23.6977
13801.7    21.9673
13998.3    20.2445
14197.7    18.5318
14399.9    17.0021
14605    15.6749
14813.1    13.8354
15024.1    12.3533
15238.1    11.1205
15455.2    9.8308
15675.3    8.8037
15898.6    7.9311
16125.1    7.0723
16354.8    6.0897
16587.8    5.1264
16824.1    4.2761
17063.7    3.3679
17306.8    2.3447
17553.3    1.3435
