x	RIGHT













20.0522	36.256
20.3412	36.3084
20.6345	36.3609
20.9319	36.4133
21.2337	36.4658
21.5398	36.5182
21.8503	36.5707
22.1653	36.6231
22.4848	36.6757
22.8089	36.7282
23.1377	36.7808
23.4713	36.8332
23.81	36.8857
24.153	36.9381
24.501	36.991
24.854	37.0371
25.213	37.0831
25.576	37.1288
25.945	37.1745
26.319	37.22
26.698	37.2653
27.083	37.3102
27.473	37.3427
27.869	37.3763
28.271	37.4097
28.679	37.4431
29.092	37.4765
29.512	37.51
29.937	37.5412
30.369	37.5865
30.806	37.6323
31.25	37.6781
31.701	37.724
32.158	37.7697
32.621	37.8153
33.092	37.8603
33.569	37.8862
34.053	37.9117
34.544	37.9368
35.042	37.9619
35.547	37.9869
36.059	38.0118
36.579	38.0361
37.106	38.0625
37.641	38.0888
38.184	38.1152
38.734	38.1415
39.293	38.1677
39.859	38.1939
40.434	38.2199
41.017	38.2453
41.608	38.2576
42.208	38.2744
42.816	38.2912
43.433	38.3079
44.059	38.3245
44.695	38.3405
45.339	38.3581
45.992	38.3757
46.655	38.3933
47.328	38.4109
48.01	38.4284
48.702	38.4459
49.405	38.4632
50.117	38.4803
50.839	38.4876
51.572	38.496
52.316	38.5044
53.07	38.5128
53.835	38.521
54.611	38.5293
55.398	38.5375
56.197	38.5459
57.007	38.5542
57.829	38.5626
58.662	38.571
59.508	38.5794
60.366	38.5878
61.236	38.5962
62.119	38.6046
63.014	38.6139
63.923	38.6229
64.844	38.6318
65.779	38.6406
66.727	38.6493
67.689	38.6577
68.665	38.6593
69.655	38.6513
70.659	38.643
71.677	38.6346
72.711	38.626
73.759	38.6174
74.822	38.6088
75.901	38.6001
76.995	38.5917
78.105	38.5833
79.231	38.5749
80.373	38.5665
81.531	38.5581
82.707	38.5497
83.899	38.5413
85.109	38.5329
86.335	38.5245
87.58	38.5161
88.843	38.5077
90.123	38.4993
91.422	38.4909
92.74	38.4825
94.077	38.4741
95.433	38.4656
96.809	38.4571
98.205	38.4485
99.62	38.4399
101.057	38.4311
102.513	38.422
103.991	38.4123
105.49	38.3831
107.011	38.3578
108.554	38.3324
110.119	38.307
111.706	38.2816
113.316	38.2564
114.95	38.2306
116.607	38.2214
118.288	38.2127
119.993	38.2041
121.723	38.1956
123.478	38.1871
125.258	38.1784
127.063	38.1694
128.895	38.1467
130.753	38.1218
132.638	38.0966
134.55	38.0714
136.49	38.046
138.457	38.0206
140.453	37.9954
142.478	37.9692
144.532	37.943
146.615	37.9168
148.729	37.8905
150.873	37.8643
153.048	37.838
155.254	37.8118
157.492	37.7855
159.763	37.759
162.066	37.7326
164.402	37.7063
166.772	37.68
169.176	37.6538
171.615	37.623
174.089	37.6056
176.598	37.5887
179.144	37.572
181.727	37.5553
184.346	37.5386
187.004	37.5219
189.7	37.5051
192.434	37.4881
195.208	37.4616
198.023	37.4353
200.877	37.4089
203.773	37.3826
206.711	37.3562
209.69	37.3299
212.713	37.3039
215.78	37.2869
218.89	37.2701
222.046	37.2534
225.247	37.2368
228.494	37.2201
231.788	37.2034
235.129	37.1865
238.52	37.169
241.96	37.1372
245.44	37.1107
248.98	37.0843
