x	RIGHT
252.57	37.0579
256.21	37.0316
259.91	37.0057
263.65	36.9899
267.45	36.9814
271.31	36.9732
275.22	36.965
279.19	36.9568
283.21	36.9486
287.3	36.9402
291.44	36.9312
295.64	36.9016
299.9	36.8754
304.22	36.849
308.61	36.8226
313.06	36.7961
317.57	36.7697
322.15	36.7451
326.79	36.7279
331.5	36.7108
336.28	36.694
341.13	36.6772
346.05	36.6605
351.04	36.6439
356.1	36.6263
361.23	36.6172
366.44	36.6083
371.72	36.5995
377.08	36.5908
382.52	36.5822
388.03	36.5735
393.62	36.5649
399.3	36.5565
405.05	36.5481
410.89	36.5397
416.82	36.5313
422.82	36.5229
428.92	36.5145
435.1	36.5062
441.38	36.4976
447.74	36.4891
454.19	36.4806
460.74	36.4721
467.38	36.4636
474.12	36.4552
480.95	36.447
487.89	36.4389
494.92	36.439
502.06	36.4389
509.29	36.4389
516.64	36.4389
524.08	36.439
531.64	36.4391
539.3	36.4393
547.08	36.4393
554.96	36.4393
562.96	36.4393
571.08	36.4393
579.31	36.4393
587.66	36.4393
596.13	36.4393
604.73	36.4392
613.44	36.4385
622.29	36.4382
631.26	36.4379
640.36	36.4378
649.59	36.4379
658.95	36.4236
668.45	36.4461
678.09	36.4704
687.86	36.4952
697.78	36.5203
707.84	36.5456
718.04	36.5711
728.39	36.5968
738.9	36.6227
749.55	36.6561
760.35	36.6902
771.31	36.7246
782.43	36.7593
793.71	36.7943
805.15	36.8299
816.76	36.8619
828.53	36.9412
840.48	37.0221
852.59	37.1037
864.89	37.1859
877.35	37.2686
890	37.3519
902.83	37.4364
915.85	37.558
929.05	37.6771
942.44	37.7967
956.03	37.9169
969.81	38.0377
983.79	38.1575
997.97	38.3136
1012.36	38.4707
1026.95	38.6283
1041.76	38.786
1056.77	38.9438
1072.01	39.1014
1087.46	39.2478
1103.14	39.3944
1119.04	39.5411
1135.17	39.6878
1151.54	39.8347
1168.14	39.9851
1184.98	40.1506
1202.06	40.3165
1219.39	40.4825
1236.97	40.6483
1254.8	40.8137
1272.89	40.9646
1291.24	41.1049
1309.85	41.2449
1328.73	41.3846
1347.89	41.5241
1367.32	41.6635
1387.03	41.8016
1407.02	41.9379
1427.31	42.0741
1447.88	42.2104
1468.75	42.3467
1489.93	42.4832
1511.4	42.6249
1533.19	42.7714
1555.29	42.9181
1577.72	43.065
1600.46	43.212
1623.53	43.3593
1646.94	43.5126
1670.68	43.6695
1694.76	43.8266
1719.19	43.9839
1743.98	44.1415
1769.12	44.2954
1794.62	44.471
1820.49	44.6474
1846.73	44.8241
1873.36	45.001
1900.36	45.178
1927.76	45.355
1955.55	45.5318
1983.74	45.7086
2012.33	45.8853
2041.34	46.062
2070.77	46.2421
2100.62	46.4093
2130.9	46.5759
2161.62	46.742
2192.78	46.9078
2224.39	47.0729
2256.46	47.2367
2288.99	47.3608
2321.99	47.4828
2355.46	47.6038
2389.4	47.7237
2423.9	47.8422
2458.8	47.9749
2494.2	47.9983
2530.2	48.0186
2566.7	48.0375
2603.7	48.0551
2641.2	48.0718
2679.3	48.0872
2717.9	48.1005
2757.1	48.1071
2796.8	47.9803
2837.2	47.9075
2878.1	47.8339
2919.5	47.7598
2961.6	47.6854
3004.3	47.6107
3047.6	47.537
3091.6	47.4634
3136.1	47.39
3181.3	47.3168
3227.2	47.2438
3273.7	47.1714
3320.9	47.1003
3368.8	47.0687
3417.4	47.0314
3466.6	46.9945
3516.6	46.9582
3567.3	46.9223
3618.7	46.8872
3670.9	46.8683
3723.8	46.8684
3777.5	46.8689
3831.9	46.8695
3887.2	46.87
3943.2	46.8702
4000.1	46.8697
4057.7	46.849
4116.2	46.7978
4175.6	46.7452
4235.7	46.6915
4296.8	46.6366
4358.7	46.5802
4421.6	46.5213
4485.3	46.3569
4550	46.1253
4615.6	45.8891
4682.1	45.6495
4749.6	45.4153
4818.1	45.0196
4887.5	44.6169
4958	44.2116
5029.5	43.8005
5102	43.382
5175.5	42.9622
5250.1	42.5211
5325.8	41.9844
5402.6	41.4462
5480.5	40.9563
5559.5	40.5126
5639.6	40.0745
5720.9	39.7131
5803.4	39.5204
5887	39.3343
5971.9	39.1545
6058	38.9869
6145.3	39.2557
6233.9	39.5986
6323.8	39.9443
6414.9	40.2707
6507.4	40.3834
6601.2	40.4927
6696.4	40.6008
6792.9	40.7088
6890.8	40.8176
6990.2	40.929
7090.9	41.2138
7193.2	41.5339
7296.9	41.8603
7402.1	42.2076
7508.8	42.827
7617	43.4621
7726.8	44.2589
7838.2	45.1146
7951.2	46.3678
8065.8	47.468
8182.1	48.5773
8300	49.7589
8419.7	50.2182
8541.1	50.5302
8664.2	50.5339
8789.1	50.0891
8915.8	49.4489
9044.3	48.726
9174.7	47.8355
9307	47.2374
9441.1	46.9937
9577.2	46.9196
9715.3	46.9083
9855.3	46.9156
9997.4	46.9119
10141.5	46.8527
10287.7	46.5726
10436	44.7676
10586.5	43.2123
10739.1	41.4742
10893.9	39.1621
11050.9	37.3476
11210.2	35.0995
11371.8	33.4013
11535.8	32.0191
11702.1	30.701
11870.8	29.4782
12041.9	28.5168
12215.5	27.7209
12391.6	27.0567
12570.2	26.4882
12751.4	25.8729
12935.2	24.9701
13121.7	24.2341
13310.9	24.0164
13502.8	24.0452
13697.4	24.1836
13894.9	24.3934
14095.2	24.666
14298.4	25.0214
14504.5	25.5651
14713.6	26.4403
14925.7	27.2692
15140.8	27.7115
15359.1	27.5816
15580.5	26.9632
15805.1	25.9725
16033	24.4798
16264.1	22.7645
16498.6	21.0189
16736.4	19.2198
16977.7	17.7857
17222.4	16.5744
17470.7	15.1396
17722.5	13.3148
17978	11.6282
18237.2	9.1566
18500.1	6.6044
18766.8	3.9712
19037.3	1.3388
