Freq dB Phase
20.141602 76.680 -124.4752
20.507812 76.737 -125.4905
20.874023 76.777 -126.4467
21.240234 76.807 -127.3629
21.606445 76.842 -128.2618
21.972656 76.872 -129.1635
22.338867 76.899 -130.0782
22.705078 76.923 -131.0046
23.071289 76.945 -131.9347
23.437500 76.966 -132.8618
23.803711 76.990 -133.7842
24.169922 77.021 -134.7028
24.536133 77.052 -135.6147
24.902344 77.084 -136.5111
25.268555 77.115 -137.3807
25.634766 77.148 -138.2177
26.000977 77.181 -139.0254
26.367188 77.215 -139.8125
26.733398 77.246 -140.5839
27.099609 77.267 -141.3350
27.465820 77.283 -142.0530
27.832031 77.295 -142.7268
28.198242 77.306 -143.3563
28.564453 77.318 -143.9548
28.930664 77.330 -144.5420
29.296875 77.342 -145.1339
29.663086 77.353 -145.7362
30.029297 77.360 -146.3464
30.395508 77.367 -146.9600
30.761719 77.370 -147.5744
31.127930 77.371 -148.1884
31.494141 77.369 -148.7974
31.860352 77.364 -149.3916
32.226562 77.358 -149.9603
32.592773 77.353 -150.5006
32.958984 77.353 -151.0222
33.325195 77.358 -151.5436
33.691406 77.370 -152.0814
34.057617 77.383 -152.6392
34.423828 77.394 -153.2052
34.790039 77.401 -153.7599
35.156250 77.406 -154.2891
35.522461 77.410 -154.7904
35.888672 77.416 -155.2720
36.254883 77.421 -155.7426
36.621094 77.425 -156.2034
36.987305 77.428 -156.6490
37.353516 77.430 -157.0749
37.719727 77.433 -157.4857
38.085938 77.438 -157.8956
38.452148 77.441 -158.3196
38.818359 77.441 -158.7619
39.184570 77.437 -159.2118
39.550781 77.428 -159.6501
39.916992 77.417 -160.0621
40.283203 77.407 -160.4471
40.649414 77.400 -160.8188
41.015625 77.395 -161.1953
41.381836 77.392 -161.5879
41.748047 77.389 -161.9958
42.114258 77.383 -162.4088
42.480469 77.375 -162.8142
42.846680 77.366 -163.2035
43.212891 77.357 -163.5741
43.579102 77.350 -163.9286
43.945312 77.344 -164.2735
44.311523 77.341 -164.6173
44.677734 77.338 -164.9671
45.043945 77.334 -165.3238
45.410156 77.328 -165.6798
45.776367 77.319 -166.0217
46.142578 77.309 -166.3393
46.508789 77.300 -166.6343
46.875000 77.295 -166.9214
