* Measurement data measured by REW V5.20.5
* Source: ??? (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 128k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: 01-Apr-2022 03:17:36
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aria (2021) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
Freq	dB
330.0000	71.037
335.0000	70.991
340.0000	70.948
345.0000	70.905
350.0000	70.860
355.0000	70.818
360.0000	70.778
365.0000	70.740
370.0000	70.703
375.0000	70.665
382.0000	70.613
387.0000	70.580
395.0000	70.530
400.0000	70.498
406.0000	70.462
412.0000	70.426
418.0000	70.392
425.0000	70.354
431.0000	70.325
437.0000	70.297
444.0000	70.264
450.0000	70.235
455.0000	70.212
462.0000	70.183
468.0000	70.159
475.0000	70.132
482.0000	70.107
487.0000	70.090
494.0000	70.069
500.0000	70.050
508.0000	70.026
515.0000	70.005
522.0000	69.986
530.0000	69.967
538.0000	69.947
545.0000	69.928
552.0000	69.908
560.0000	69.887
570.0000	69.865
580.0000	69.844
590.0000	69.824
600.0000	69.803
608.0000	69.791
615.0000	69.781
622.0000	69.771
630.0000	69.761
640.0000	69.751
650.0000	69.742
660.0000	69.734
670.0000	69.729
680.0000	69.725
690.0000	69.724
700.0000	69.726
710.0000	69.729
720.0000	69.733
730.0000	69.738
740.0000	69.746
750.0000	69.757
762.0000	69.771
775.0000	69.788
788.0000	69.811
800.0000	69.836
812.0000	69.864
825.0000	69.898
838.0000	69.934
850.0000	69.971
862.0000	70.010
875.0000	70.057
885.0000	70.094
900.0000	70.155
912.0000	70.208
925.0000	70.270
938.0000	70.336
950.0000	70.399
962.0000	70.463
975.0000	70.532
988.0000	70.601
1,000.0000	70.666
1,015.0000	70.754
1,030.0000	70.863
1,044.0000	70.981
1,060.0000	71.113
1,075.0000	71.226
1,090.0000	71.329
1,106.0000	71.436
1,120.0000	71.528
1,138.0000	71.646
1,150.0000	71.723
1,172.0000	71.862
1,180.0000	71.911
1,206.0000	72.073
1,220.0000	72.165
1,241.0000	72.310
1,250.0000	72.372
1,265.0000	72.476
1,280.0000	72.577
1,315.0000	72.803
1,320.0000	72.833
1,340.0000	72.953
1,360.0000	73.074
1,380.0000	73.196
1,400.0000	73.317
1,430.0000	73.491
1,450.0000	73.602
1,475.0000	73.736
1,500.0000	73.865
1,525.0000	73.985
1,550.0000	74.091
1,575.0000	74.191
1,600.0000	74.288
1,625.0000	74.383
1,650.0000	74.478
1,675.0000	74.572
1,700.0000	74.666
1,725.0000	74.762
1,750.0000	74.860
1,775.0000	74.957
1,800.0000	75.054
1,825.0000	75.151
1,850.0000	75.248
1,875.0000	75.344
1,900.0000	75.440
1,925.0000	75.535
1,950.0000	75.630
1,975.0000	75.724
2,000.0000	75.818
2,030.0000	75.928
2,060.0000	76.037
2,090.0000	76.146
2,120.0000	76.253
