* Measurement data measured by REW V5.20.5
* Source: C:\Users\jerry\Desktop\zencan xbass.csv
* Format: Comma/Tab/Space delimited data
* Dated: 13-Jul-2022 14:30:31
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 0.2 dB
* Note: Measurement imported from C:\Users\jerry\Desktop\zencan xbass.csv Format: Comma/Tab/Space delimited data 5001 values loaded, 11 Hz to 98,313 Hz log spaced
* Measurement: zencan xbass
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
690.000000	0.074
700.000000	0.073
710.000000	0.072
720.000000	0.070
730.000000	0.069
740.000000	0.068
750.000000	0.067
762.000000	0.066
775.000000	0.065
788.000000	0.064
800.000000	0.063
812.000000	0.062
825.000000	0.061
838.000000	0.060
850.000000	0.059
862.000000	0.058
875.000000	0.057
885.000000	0.056
900.000000	0.055
912.000000	0.054
925.000000	0.053
938.000000	0.052
950.000000	0.052
962.000000	0.051
975.000000	0.050
988.000000	0.049
1000.000000	0.048
1015.000000	0.047
1030.000000	0.045
1044.000000	0.044
1060.000000	0.043
1075.000000	0.042
1090.000000	0.041
1106.000000	0.039
1120.000000	0.038
1138.000000	0.037
1150.000000	0.036
1172.000000	0.034
1180.000000	0.034
1206.000000	0.032
1220.000000	0.031
1241.000000	0.030
1250.000000	0.029
1265.000000	0.029
1280.000000	0.028
1315.000000	0.026
1320.000000	0.026
1340.000000	0.025
1360.000000	0.024
1380.000000	0.024
1400.000000	0.023
1430.000000	0.022
1450.000000	0.022
1475.000000	0.022
1500.000000	0.022
1525.000000	0.022
1550.000000	0.022
1575.000000	0.022
1600.000000	0.022
1625.000000	0.022
1650.000000	0.022
1675.000000	0.022
1700.000000	0.023
1725.000000	0.023
1750.000000	0.023
1775.000000	0.023
1800.000000	0.023
1825.000000	0.023
1850.000000	0.024
1875.000000	0.024
1900.000000	0.024
1925.000000	0.024
1950.000000	0.023
1975.000000	0.023
2000.000000	0.023
2030.000000	0.023
2060.000000	0.022
2090.000000	0.022
2120.000000	0.021
2140.000000	0.021
2180.000000	0.020
2200.000000	0.019
2240.000000	0.018
2270.000000	0.017
2300.000000	0.016
2330.000000	0.015
2360.000000	0.014
2400.000000	0.013
2430.000000	0.012
2470.000000	0.010
2500.000000	0.009
2540.000000	0.008
2580.000000	0.006
2620.000000	0.005
2650.000000	0.004
2690.000000	0.003
2720.000000	0.002
2760.000000	0.001
2800.000000	0.000
2850.000000	-0.001
2900.000000	-0.002
2950.000000	-0.003
3000.000000	-0.004
3040.000000	-0.004
3070.000000	-0.004
3110.000000	-0.005
3150.000000	-0.005
3200.000000	-0.005
3250.000000	-0.006
3300.000000	-0.006
3350.000000	-0.006
3400.000000	-0.006
3450.000000	-0.006
3500.000000	-0.006
3550.000000	-0.006
3600.000000	-0.005
3650.000000	-0.005
3700.000000	-0.005
3750.000000	-0.005
3820.000000	-0.005
3870.000000	-0.004
3950.000000	-0.004
4000.000000	-0.004
4060.000000	-0.004
4120.000000	-0.003
4180.000000	-0.003
4250.000000	-0.003
4310.000000	-0.003
4370.000000	-0.003
4440.000000	-0.002
4500.000000	-0.002
4550.000000	-0.002
4620.000000	-0.002
4680.000000	-0.002
4750.000000	-0.002
4820.000000	-0.002
4870.000000	-0.002
4940.000000	-0.002
5000.000000	-0.002
5080.000000	-0.002
5150.000000	-0.002
5220.000000	-0.002
5300.000000	-0.002
5380.000000	-0.002
5450.000000	-0.002
5520.000000	-0.002
5600.000000	-0.003
5700.000000	-0.003
5800.000000	-0.003
5900.000000	-0.003
6000.000000	-0.003
6080.000000	-0.003
6150.000000	-0.003
6220.000000	-0.003
6300.000000	-0.003
6400.000000	-0.003
6500.000000	-0.003
6600.000000	-0.003
6700.000000	-0.003
6800.000000	-0.003
6900.000000	-0.003
7000.000000	-0.003
7100.000000	-0.003
7200.000000	-0.003
7300.000000	-0.003
7400.000000	-0.003
7500.000000	-0.003
7620.000000	-0.003
7750.000000	-0.003
7880.000000	-0.003
8000.000000	-0.003
8120.000000	-0.003
8250.000000	-0.003
8380.000000	-0.003
8500.000000	-0.003
8620.000000	-0.003
8750.000000	-0.003
8850.000000	-0.003
9000.000000	-0.003
9120.000000	-0.003
9250.000000	-0.003
9380.000000	-0.003
9500.000000	-0.003
9620.000000	-0.003
9750.000000	-0.003
9880.000000	-0.003
10000.000000	-0.003
10150.000000	-0.003
10300.000000	-0.003
10440.000000	-0.003
10600.000000	-0.003
10750.000000	-0.003
10900.000000	-0.003
11060.000000	-0.003
11200.000000	-0.003
11380.000000	-0.003
11500.000000	-0.003
11720.000000	-0.003
11800.000000	-0.003
12060.000000	-0.003
12200.000000	-0.003
12410.000000	-0.003
12500.000000	-0.003
12650.000000	-0.003
12800.000000	-0.002
13150.000000	-0.002
13200.000000	-0.002
13400.000000	-0.002
13600.000000	-0.002
13800.000000	-0.001
14000.000000	-0.001
14300.000000	-0.001
14500.000000	-0.001
14750.000000	-0.001
15000.000000	-0.001
15250.000000	-0.000
15500.000000	-0.000
15750.000000	-0.000
16000.000000	-0.000
16250.000000	-0.001
16500.000000	-0.001
16750.000000	-0.001
17000.000000	-0.001
17250.000000	-0.001
17500.000000	-0.002
17750.000000	-0.002
18000.000000	-0.003
18250.000000	-0.003
18500.000000	-0.004
18750.000000	-0.005
19000.000000	-0.005
19250.000000	-0.006
19500.000000	-0.007
19750.000000	-0.008
20000.000000	-0.009
